Comment,Designator,Footprint,LCSC
Conn_01x02_Pin,J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,C428722
Conn_01x02_Pin,"J10,J11,J12,J13,J14,J15,J16,J2,J3,J4,J5,J6,J7,J8,J9",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,C431092
